Name;Country;Longitude;Latitude
MOMBETSU KO;JP;44.35;143.35
CHARLOTTETOWN;CA;46.233333;-63.133333
ABASHIRI KO;JP;44.016667;144.283333
NEMURO KO;JP;43.333333;145.583333
